Date,Hour,Stops,Price
2023-06-30,20:00,Direto,2408.53
2023-07-05,09:50,Direto,1733.53
2023-07-05,13:00,Direto,1733.53
2023-07-05,16:30,Direto,1733.53
2023-07-05,19:50,Direto,2408.53
2023-07-07,09:50,Direto,1733.53
2023-07-07,13:00,Direto,1907.53
2023-07-07,16:30,Direto,1907.53
2023-07-07,20:00,Direto,2408.53
2023-07-12,09:50,Direto,1733.53
2023-07-12,13:00,Direto,1733.53
2023-07-12,16:30,Direto,1733.53
2023-07-12,19:50,Direto,2408.53
2023-07-14,09:50,Direto,1733.53
2023-07-14,13:00,Direto,1907.53
2023-07-14,16:30,Direto,1907.53
2023-07-14,20:00,Direto,2408.53
2023-07-19,09:50,Direto,1733.53
2023-07-19,13:00,Direto,1733.53
2023-07-19,16:30,Direto,1733.53
2023-07-19,19:50,Direto,2408.53
2023-07-21,09:50,Direto,1733.53
2023-07-21,13:00,Direto,1907.53
2023-07-21,16:30,Direto,1907.53
2023-07-21,20:00,Direto,2408.53
2023-07-26,09:50,Direto,1733.53
2023-07-26,13:00,Direto,1733.53
2023-07-26,16:30,Direto,1733.53
2023-07-26,19:50,Direto,2408.53
2023-07-28,09:50,Direto,1733.53
2023-07-28,13:00,Direto,1907.53
2023-07-28,16:30,Direto,1907.53
2023-07-28,20:00,Direto,2408.53
2023-08-02,09:50,Direto,292.53
2023-08-02,13:00,Direto,292.53
2023-08-02,16:30,Direto,292.53
2023-08-02,19:50,Direto,2235.53
